,Year,Cluster,Size,Features
197,2009,0.0,1053.0,"['google', 'search', 'results', 'engine', 'users', 'search engine', 'news', 'time', 'yahoo', 'people']"
198,2009,1.0,1639.0,"['apple', 'iphone', 'app', 'store', 'apps', 'itunes', 'app store', 'phone', 'application', 'developers']"
199,2009,2.0,3966.0,"['users', 'site', 'facebook', 'company', 'service', 'people', 'business', 'data', 'myspace', 'services']"
200,2009,3.0,10632.0,"['you', 'time', 're', 'phone', 'thing', 'price', 'people', 'll', 'camera', 'device']"
201,2009,4.0,680.0,"['energy', 'chip', 'chips', 'power', 'intel', 'company', 'grid', 'utilities', 'companies', 'technology']"
202,2009,5.0,2608.0,"['game', 'video', 'games', 'com', 'http', 'show', 'time', 'xbox', 'watch', 'tv']"
203,2009,6.0,862.0,"['twitter', 'tweets', 'users', 'facebook', 'service', 'people', 'tweet', 'search', 'account', 'site']"
204,2009,7.0,2126.0,"['game', 'games', 'time', 'play', 'world', 'players', 'gamers', 'people', 'story', 'year']"
205,2009,8.0,1554.0,"['capital', 'company', 'venture', 'ventures', 'round', 'partners', 'funding', 'investors', 'companies', 'fund']"
206,2009,0.0,11377.0,"['video', 'you', 'time', 're', 'thing', 'game', 'people', 'll', 'price', 'don']"
207,2009,1.0,1183.0,"['phone', 'phones', 'chip', 'chips', 'intel', 'iphone', 'devices', 'cell', 'market', 'android']"
208,2009,2.0,2455.0,"['game', 'games', 'time', 'play', 'world', 'gamers', 'players', 'people', 'video', 'year']"
209,2009,3.0,935.0,"['twitter', 'tweets', 'facebook', 'users', 'service', 'people', 'tweet', 'site', 'account', 'search']"
210,2009,4.0,1201.0,"['capital', 'ventures', 'venture', 'round', 'partners', 'company', 'funding', 'investors', 'round funding', 'fund']"
211,2009,5.0,996.0,"['google', 'search', 'results', 'engine', 'users', 'search engine', 'news', 'time', 'yahoo', 'data']"
